workflow	run	dir	mode	run_mtime	slurm_file	active_in_squeue
nf-core_genomeqc	19037	single-19037	single	2026-05-19 21:56:22	present	no
nf-core_genomeqc	19071	single-19071	single	2026-05-19 22:18:36	present	no
nf-core_genomeqc	19140	single-19140	single	2026-05-19 23:36:13	present	no
nf-core_genomeqc	19219	single-19219	single	2026-05-20 00:51:40	present	no
nf-core_genomeqc	19269	single-19269	single	2026-05-20 02:16:25	present	no
nf-core_genomeqc	19402	single-19402	single	2026-05-20 07:40:10	present	yes
nf-core_genomeqc	20016	single-20016	single	2026-05-21 01:43:09	present	no
nf-core_hic	19038	single-19038	single	2026-05-19 21:56:38	present	no
nf-core_hic	19072	single-19072	single	2026-05-19 22:18:27	present	no
nf-core_hic	19141	single-19141	single	2026-05-19 23:36:04	present	no
nf-core_hic	19175	single-19175	single	2026-05-19 23:44:54	present	no
nf-core_hic	19286	single-19286	single	2026-05-20 04:02:07	present	no
nf-core_hic	19374	single-19374	single	2026-05-20 06:39:54	present	no
nf-core_hic	20028	single-20028	single	2026-05-21 04:55:00	present	yes
nf-core_mag	19039	single-19039	single	2026-05-19 21:56:36	present	no
nf-core_mag	19073	single-19073	single	2026-05-19 22:20:59	present	no
nf-core_mag	19142	single-19142	single	2026-05-19 23:36:33	present	no
nf-core_mag	19403	single-19403	single	2026-05-20 21:46:56	present	no
nf-core_mag	20031	single-20031	single	2026-05-21 10:33:52	present	no
nf-core_methylseq	19040	single-19040	single	2026-05-19 21:56:47	present	no
nf-core_methylseq	19074	single-19074	single	2026-05-19 22:40:59	present	no
nf-core_methylseq	19143	single-19143	single	2026-05-19 23:36:18	present	no
nf-core_methylseq	19176	single-19176	single	2026-05-19 23:45:43	present	no
nf-core_methylseq	19289	single-19289	single	2026-05-20 04:02:27	present	no
nf-core_methylseq	19340	single-19340	single	2026-05-20 06:17:46	present	no
nf-core_methylseq	19378	single-19378	single	2026-05-21 02:05:33	present	yes
nf-core_methylseq	20034	single-20034	single	2026-05-21 22:03:41	present	yes
nf-core_mhcquant	19041	single-19041	single	2026-05-19 21:57:00	present	no
nf-core_mhcquant	19075	single-19075	single	2026-05-19 22:51:50	present	no
nf-core_mhcquant	19108	single-19108	single	2026-05-19 23:34:43	present	no
nf-core_mhcquant	19315	single-19315	single	2026-05-20 10:09:57	present	no
nf-core_mhcquant	19676	single-19676	single	2026-05-20 12:25:40	present	no
nf-core_mhcquant	20037	single-20037	single	2026-05-21 07:56:09	present	no
nf-core_nascent	19042	single-19042	single	2026-05-19 21:57:10	present	no
nf-core_nascent	19066	single-19066	single	2026-05-19 22:17:27	present	no
nf-core_nascent	19104	single-19104	single	2026-05-19 23:34:43	present	no
nf-core_nascent	19316	single-19316	single	2026-05-20 04:20:55	present	no
nf-core_nascent	19556	single-19556	single	2026-05-21 00:20:59	present	no
nf-core_nascent	20001	single-20001	single	2026-05-21 00:42:13	present	no
nf-core_pathogensurveillance	19043	single-19043	single	2026-05-19 21:57:13	present	no
nf-core_pathogensurveillance	19076	single-19076	single	2026-05-19 22:52:39	present	no
nf-core_pathogensurveillance	19109	single-19109	single	2026-05-20 00:38:17	present	no
nf-core_pathogensurveillance	19262	single-19262	single	2026-05-20 02:01:18	present	no
nf-core_pathogensurveillance	19404	single-19404	single	2026-05-20 07:53:46	present	no
nf-core_pathogensurveillance	19575	single-19575	single	2026-05-20 10:01:51	present	no
nf-core_pathogensurveillance	19672	single-19672	single	2026-05-20 11:41:05	present	no
nf-core_pathogensurveillance	19918	single-19918	single	2026-05-20 17:05:14	present	no
nf-core_proteinfold	19044	single-19044	single	2026-05-19 21:57:21	present	no
nf-core_proteinfold	19093	single-19093	single	2026-05-19 23:08:23	present	no
nf-core_proteinfold	19121	single-19121	single	2026-05-19 23:35:36	present	no
nf-core_proteinfold	19172	single-19172	single	2026-05-19 23:43:48	present	no
nf-core_proteinfold	19207	single-19207	single	2026-05-20 00:36:22	present	no
nf-core_proteinfold	19239	single-19239	single	2026-05-20 01:20:26	present	no
nf-core_proteinfold	19334	single-19334	single	2026-05-20 05:54:15	present	no
nf-core_proteinfold	19381	single-19381	single	2026-05-20 06:57:22	present	no
nf-core_proteinfold	19410	single-19410	single	2026-05-20 08:14:26	present	no
nf-core_proteinfold	19596	single-19596	single	2026-05-20 10:17:29	present	no
nf-core_proteinfold	19921	single-19921	single	2026-05-20 17:50:26	present	no
nf-core_quantms	19045	single-19045	single	2026-05-19 21:57:34	present	no
nf-core_quantms	19077	single-19077	single	2026-05-19 22:52:24	present	no
nf-core_quantms	19110	single-19110	single	2026-05-19 23:34:52	present	no
nf-core_quantms	19169	single-19169	single	2026-05-19 23:42:27	present	no
nf-core_quantms	19208	single-19208	single	2026-05-20 00:48:02	present	no
nf-core_quantms	19264	single-19264	single	2026-05-20 01:47:55	present	no
nf-core_quantms	19288	single-19288	single	2026-05-20 04:02:27	present	no
nf-core_quantms	19343	single-19343	single	2026-05-20 06:18:24	present	no
nf-core_quantms	19405	single-19405	single	2026-05-20 07:58:31	present	no
nf-core_quantms	19565	single-19565	single	2026-05-20 09:42:57	present	no
nf-core_quantms	19695	single-19695	single	2026-05-20 13:11:05	present	no
nf-core_quantms	19950	single-19950	single	2026-05-20 20:19:03	present	no
nf-core_rnaseq	19046	single-19046	single	2026-05-19 21:57:42	present	no
nf-core_rnaseq	19078	single-19078	single	2026-05-19 22:53:23	present	no
nf-core_rnaseq	19144	single-19144	single	2026-05-19 23:36:35	present	no
nf-core_rnaseq	19177	single-19177	single	2026-05-20 00:07:15	present	no
nf-core_rnaseq	19666	single-19666	single	2026-05-20 11:39:27	present	no
nf-core_rnaseq	20040	single-20040	single	2026-05-21 12:31:40	present	no
nf-core_sarek	19094	single-19094	single	2026-05-19 23:09:45	present	no
nf-core_sarek	19128	single-19128	single	2026-05-19 23:36:25	present	no
nf-core_sarek	19214	single-19214	single	2026-05-20 00:48:30	present	no
nf-core_sarek	19266	single-19266	single	2026-05-20 01:59:26	present	no
nf-core_sarek	19797	single-19797	single	2026-05-20 15:21:17	present	no
nf-core_sarek	20043	single-20043	single	2026-05-21 19:42:43	present	no
nf-core_scnanoseq	19049	single-19049	single	2026-05-19 21:58:23	present	no
nf-core_scnanoseq	19107	single-19107	single	2026-05-19 23:35:13	present	no
nf-core_scnanoseq	19209	single-19209	single	2026-05-20 00:37:22	present	no
nf-core_scnanoseq	19930	single-19930	single	2026-05-20 17:51:54	present	no
nf-core_scrnaseq	19136	single-19136	single	2026-05-19 23:35:50	present	no
nf-core_scrnaseq	19648	single-19648	single	2026-05-20 11:14:20	present	no
nf-core_scrnaseq	19953	single-19953	single	2026-05-21 11:19:37	present	no
nf-core_smrnaseq	19050	single-19050	single	2026-05-19 21:58:42	present	no
nf-core_smrnaseq	19137	single-19137	single	2026-05-19 23:35:36	present	no
nf-core_smrnaseq	19173	single-19173	single	2026-05-19 23:44:45	present	no
nf-core_smrnaseq	19285	single-19285	single	2026-05-20 04:02:24	present	no
nf-core_smrnaseq	19375	single-19375	single	2026-05-20 06:46:30	present	no
nf-core_smrnaseq	19398	single-19398	single	2026-05-20 07:36:44	present	no
nf-core_smrnaseq	19771	single-19771	single	2026-05-20 13:52:16	present	no
nf-core_smrnaseq	20047	single-20047	single	2026-05-21 13:05:37	present	no
nf-core_spatialvi	19047	single-19047	single	2026-05-19 21:58:16	present	no
nf-core_spatialvi	19119	single-19119	single	2026-05-19 23:35:18	present	no
nf-core_spatialvi	19171	single-19171	single	2026-05-19 23:42:51	present	no
nf-core_spatialvi	19206	single-19206	single	2026-05-20 00:32:38	present	no
nf-core_spatialvi	19237	single-19237	single	2026-05-20 01:19:58	present	no
nf-core_spatialvi	19335	single-19335	single	2026-05-20 05:55:35	present	no
nf-core_spatialvi	19385	single-19385	single	2026-05-20 07:04:22	present	no
nf-core_spatialvi	19415	single-19415	single	2026-05-20 08:27:55	present	no
nf-core_spatialvi	19585	single-19585	single	2026-05-20 10:11:31	present	no
nf-core_spatialvi	19866	single-19866	single	2026-05-20 16:34:41	present	no
nf-core_spatialvi	19989	single-19989	single	2026-05-21 00:21:40	present	no
nf-core_taxprofiler	19147	single-19147	single	2026-05-19 23:37:15	present	no
nf-core_taxprofiler	19179	single-19179	single	2026-05-20 00:15:46	present	no
nf-core_taxprofiler	19261	single-19261	single	2026-05-20 01:22:30	present	no
nf-core_taxprofiler	19974	single-19974	single	2026-05-21 01:03:44	present	no
nf-core_tumourevo	19096	single-19096	single	2026-05-19 23:12:54	present	no
nf-core_tumourevo	19223	single-19223	single	2026-05-20 00:56:26	present	no
nf-core_tumourevo	19639	single-19639	single	2026-05-20 21:16:25	present	no
nf-core_tumourevo	20019	single-20019	single	2026-05-21 03:59:09	present	no
nf-core_viralintegration	19048	single-19048	single	2026-05-19 21:57:52	present	no
nf-core_viralintegration	19224	single-19224	single	2026-05-20 02:59:16	present	no
nf-core_viralintegration	19336	single-19336	single	2026-05-20 06:13:17	present	no
nf-core_viralintegration	19588	single-19588	single	2026-05-20 10:11:58	present	no
nf-core_viralintegration	19809	single-19809	single	2026-05-20 15:22:19	present	no
nf-core_viralintegration	19965	single-19965	single	2026-05-20 22:15:06	present	yes
nf-core_viralrecon	19097	single-19097	single	2026-05-19 23:14:01	present	no
nf-core_viralrecon	19181	single-19181	single	2026-05-20 00:17:11	present	no
nf-core_viralrecon	19265	single-19265	single	2026-05-20 01:53:09	present	no
nf-core_viralrecon	19318	single-19318	single	2026-05-20 04:40:10	present	no
nf-core_viralrecon	19350	single-19350	single	2026-05-20 06:35:55	present	no
nf-core_viralrecon	19384	single-19384	single	2026-05-20 07:03:02	present	no
nf-core_viralrecon	19449	single-19449	single	2026-05-20 08:51:58	present	no
nf-core_viralrecon	19602	single-19602	single	2026-05-20 13:48:07	present	no
nf-core_viralrecon	20050	single-20050	single	2026-05-21 15:16:01	present	no
nwchem	18948	4node-18948	multi	2026-05-19 21:28:02	missing	no
nwchem	18999	4node-18999	multi	2026-05-19 22:03:40	missing	no
nwchem	19079	4node-profiled-19079	trace	2026-05-19 23:15:57	missing	no
